Timestamp,CPU,usr,nice,sys,iowait,steal,irq,soft,guest,gnice,idle
23:32:46,1,14.85,0.0,5.94,0.0,0.0,0.0,0.0,0.0,0.0,79.21
23:32:46,2,12.63,0.0,4.21,0.0,0.0,0.0,0.0,0.0,0.0,83.16
23:32:46,3,10.42,0.0,6.25,0.0,0.0,3.12,5.21,0.0,0.0,75.0
23:32:47,all,9.6,0.0,5.05,0.0,0.0,0.51,1.01,0.0,0.0,83.84
23:32:47,0,10.2,0.0,4.08,0.0,0.0,0.0,0.0,0.0,0.0,85.71
23:32:47,1,10.2,0.0,4.08,0.0,0.0,0.0,0.0,0.0,0.0,85.71
23:32:47,2,9.09,0.0,5.05,0.0,0.0,0.0,0.0,0.0,0.0,85.86
23:32:47,3,8.91,0.0,6.93,0.0,0.0,1.98,3.96,0.0,0.0,78.22
23:32:48,all,9.09,0.0,3.54,0.25,0.0,0.51,0.76,0.0,0.0,85.86
23:32:48,0,9.09,0.0,4.04,0.0,0.0,0.0,0.0,0.0,0.0,86.87
23:32:48,1,10.0,0.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,86.0
23:32:48,2,10.2,0.0,2.04,0.0,0.0,0.0,0.0,0.0,0.0,87.76
23:32:48,3,7.07,0.0,5.05,0.0,0.0,2.02,3.03,0.0,0.0,82.83
23:32:49,all,8.56,0.0,4.79,0.0,0.0,0.5,1.01,0.0,0.0,85.14
23:32:49,0,8.08,0.0,5.05,0.0,0.0,0.0,0.0,0.0,0.0,86.87
23:32:49,1,9.9,0.0,4.95,0.0,0.0,0.0,0.0,0.0,0.0,85.15
23:32:49,2,9.09,0.0,4.04,0.0,0.0,0.0,0.0,0.0,0.0,86.87
23:32:49,3,7.14,0.0,5.1,0.0,0.0,2.04,4.08,0.0,0.0,81.63
23:32:50,all,7.63,0.0,2.8,0.0,0.0,0.25,0.51,0.0,0.0,88.8
23:32:50,0,8.16,0.0,2.04,0.0,0.0,0.0,0.0,0.0,0.0,89.8
23:32:50,1,7.14,0.0,3.06,0.0,0.0,0.0,0.0,0.0,0.0,89.8
23:32:50,2,8.08,0.0,3.03,0.0,0.0,0.0,0.0,0.0,0.0,88.89
23:32:50,3,7.14,0.0,3.06,0.0,0.0,1.02,2.04,0.0,0.0,86.73
23:32:51,all,0.75,0.0,0.5,0.0,0.0,0.25,0.25,0.0,0.0,98.25
23:32:51,0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,98.0
23:32:51,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
23:32:51,2,1.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,98.99
23:32:51,3,0.98,0.0,0.98,0.0,0.0,0.98,0.98,0.0,0.0,96.08
23:32:52,all,0.25,0.0,2.25,0.0,0.0,0.0,0.0,0.0,0.0,97.5
23:32:52,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
23:32:52,1,0.99,0.0,0.99,0.0,0.0,0.0,0.0,0.0,0.0,98.02
23:32:52,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
23:32:52,3,0.0,0.0,8.08,0.0,0.0,0.0,0.0,0.0,0.0,91.92
23:32:53,all,4.51,0.0,2.01,0.0,0.0,0.5,0.5,0.0,0.0,92.48
23:32:53,0,3.03,0.0,2.02,0.0,0.0,1.01,0.0,0.0,0.0,93.94
23:32:53,1,5.05,0.0,1.01,0.0,0.0,0.0,0.0,0.0,0.0,93.94
23:32:53,2,5.88,0.0,2.94,0.0,0.0,0.0,0.0,0.0,0.0,91.18
23:32:53,3,4.04,0.0,2.02,0.0,0.0,1.01,2.02,0.0,0.0,90.91
23:32:54,all,4.26,0.0,2.01,0.25,0.0,0.25,0.5,0.0,0.0,92.73
23:32:54,0,4.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,94.0
23:32:54,1,4.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,93.0
23:32:54,2,5.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,93.0
23:32:54,3,4.04,0.0,2.02,0.0,0.0,1.01,2.02,0.0,0.0,90.91
23:32:55,all,4.02,0.0,2.26,0.0,0.0,0.75,0.5,0.0,0.0,92.46
23:32:55,0,4.04,0.0,2.02,0.0,0.0,0.0,0.0,0.0,0.0,93.94
23:32:55,1,3.03,0.0,2.02,0.0,0.0,1.01,0.0,0.0,0.0,93.94
23:32:55,2,5.05,0.0,2.02,0.0,0.0,0.0,0.0,0.0,0.0,92.93
23:32:55,3,3.96,0.0,2.97,0.0,0.0,1.98,1.98,0.0,0.0,89.11
23:32:56,all,10.41,0.0,4.57,0.0,0.0,0.76,1.27,0.0,0.0,82.99
23:32:56,0,9.18,0.0,5.1,0.0,0.0,0.0,1.02,0.0,0.0,84.69
23:32:56,1,11.22,0.0,4.08,0.0,0.0,0.0,0.0,0.0,0.0,84.69
23:32:56,2,12.12,0.0,3.03,0.0,0.0,0.0,0.0,0.0,0.0,84.85
23:32:56,3,9.09,0.0,6.06,0.0,0.0,3.03,4.04,0.0,0.0,77.78
23:32:57,all,9.67,0.0,4.33,0.0,0.0,0.76,1.02,0.0,0.0,84.22
23:32:57,0,10.2,0.0,4.08,0.0,0.0,0.0,0.0,0.0,0.0,85.71
23:32:57,1,10.1,0.0,4.04,0.0,0.0,0.0,0.0,0.0,0.0,85.86
23:32:57,2,9.18,0.0,4.08,0.0,0.0,1.02,0.0,0.0,0.0,85.71
23:32:57,3,9.18,0.0,5.1,0.0,0.0,2.04,4.08,0.0,0.0,79.59
23:32:58,all,11.65,0.0,6.08,0.0,0.0,0.51,1.01,0.0,0.0,80.76
23:32:58,0,13.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,81.0
23:32:58,1,12.24,0.0,5.1,0.0,0.0,0.0,0.0,0.0,0.0,82.65
23:32:58,2,10.31,0.0,6.19,0.0,0.0,0.0,0.0,0.0,0.0,83.51
23:32:58,3,11.0,0.0,7.0,0.0,0.0,2.0,4.0,0.0,0.0,76.0
23:32:59,all,11.05,0.0,4.88,0.0,0.0,0.77,1.29,0.0,0.0,82.01
23:32:59,0,11.58,0.0,3.16,0.0,0.0,0.0,0.0,0.0,0.0,85.26
23:32:59,1,11.34,0.0,5.15,0.0,0.0,0.0,0.0,0.0,0.0,83.51
23:32:59,2,11.22,0.0,5.1,0.0,0.0,0.0,0.0,0.0,0.0,83.67
23:32:59,3,10.1,0.0,6.06,0.0,0.0,3.03,5.05,0.0,0.0,75.76
23:33:00,all,6.75,0.0,3.25,0.25,0.0,0.25,0.5,0.0,0.0,89.0
23:33:00,0,7.92,0.0,2.97,0.0,0.0,0.0,0.0,0.0,0.0,89.11
23:33:00,1,6.06,0.0,3.03,1.01,0.0,0.0,0.0,0.0,0.0,89.9
23:33:00,2,8.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,90.0
23:33:00,3,5.0,0.0,5.0,0.0,0.0,1.0,2.0,0.0,0.0,87.0
23:33:01,all,10.69,0.0,6.11,0.0,0.0,0.76,1.27,0.0,0.0,81.17
23:33:01,0,11.22,0.0,6.12,0.0,0.0,0.0,0.0,0.0,0.0,82.65
23:33:01,1,10.31,0.0,5.15,0.0,0.0,0.0,0.0,0.0,0.0,84.54
23:33:01,2,11.11,0.0,7.07,0.0,0.0,0.0,0.0,0.0,0.0,81.82
23:33:01,3,10.1,0.0,6.06,0.0,0.0,3.03,5.05,0.0,0.0,75.76
23:33:02,all,11.96,0.0,5.34,0.51,0.0,0.51,1.27,0.0,0.0,80.41
23:33:02,0,12.24,0.0,5.1,0.0,0.0,0.0,0.0,0.0,0.0,82.65
23:33:02,1,13.13,0.0,5.05,0.0,0.0,0.0,0.0,0.0,0.0,81.82
23:33:02,2,12.24,0.0,5.1,2.04,0.0,0.0,0.0,0.0,0.0,80.61
23:33:02,3,10.2,0.0,6.12,0.0,0.0,2.04,5.1,0.0,0.0,76.53
23:33:03,all,9.16,0.0,4.33,0.0,0.0,0.76,0.76,0.0,0.0,84.99
23:33:03,0,9.18,0.0,4.08,0.0,0.0,1.02,0.0,0.0,0.0,85.71
23:33:03,1,9.09,0.0,5.05,0.0,0.0,0.0,0.0,0.0,0.0,85.86
23:33:03,2,10.1,0.0,4.04,0.0,0.0,0.0,0.0,0.0,0.0,85.86
23:33:03,3,8.25,0.0,4.12,0.0,0.0,2.06,3.09,0.0,0.0,82.47
